Node,GrainSize,phi1,Phi,phi2,x,y
1,10,2.18098,0.78683,3.6916,-0.0713772379876177,82.2013448662119
2,52,2.63404,0.44568,2.98858,0.366169360192897,93.7762790073984
3,7,2.41875,0.77749,4.4353,0.501694445421381,12.6024877152375
4,11,1.0338,0.60249,4.66137,0.465532366534836,14.2767723557981
5,44,2.40574,0.76996,4.45386,0.796284177638913,18.1671344370406
6,53,6.13839,0.677999999999999,0.142430000000001,1.23723018726043,10.4505198300516
7,40,5.46541,0.28435,1.24647,1.98047469614112,24.546042122924
8,50,2.93488,0.67015,2.91881,1.99513271178906,87.8423857520083
9,147,5.79717,0.45879,1.2539,2.11416752657184,102.469072452065
10,58,3.93187,0.48622,2.42916,2.74736542920946,38.8057855366192
11,124,3.04484,0.42862,3.62556,2.26382185322883,2.40350000320494
12,216,4.09392,0.796760000000005,2.64578,4.01337830027046,94.6635326965053
13,95,6.26734,0.469199999999999,6.11066,6.31016610299878,84.5628731331018
14,201,2.66234,0.878690000000001,3.98711,4.31409584958785,105.815799585551
15,44,3.31255,0.40005,3.74089,8.70456067858834,93.8115068804392
16,440,3.70104,0.410539999999994,3.26449,4.74343060990639,78.8063802810859
17,208,5.9686,0.35882,0.650779999999997,7.79248707163872,106.950160998773
18,55,5.40815,0.71239,0.68239,9.96224419458936,97.0188220388547
19,84,2.07942,0.524620000000001,4.05372,13.1583520113113,99.3935503487993
20,216,2.66336,0.877810000000005,3.98789,12.1682561368201,108.161875987575
21,90,5.48042,0.289379999999999,1.22994,14.5976806500897,77.9864404525577
22,682,5.46758999999999,0.291939999999999,1.24581,10.0696467080536,63.4242288868368
23,430,3.35381,0.654459999999995,2.34518000000001,8.79499628954464,71.6842071280615
24,7,0.02064,0.7373,5.72513,18.7782207978074,109.398684787479
25,33,6.14971,0.669430000000001,0.124030000000001,19.2427469198521,35.428323879329
26,1058,5.41751999999998,0.758900000000005,0.212840000000005,9.11938412912502,37.7854829531493
27,723,5.64236000000001,0.513850000000008,0.850539999999992,13.9231939353052,88.2043002292236
28,106,3.59560123495857,0.528237088734079,2.05590262699079,18.3129653401013,109.314642739253
29,100,0.808119999999999,0.766920000000001,4.96679,19.6388211623347,92.2242130641608
30,63,1.13488,0.7936,5.75358,19.4060061974765,111.994370999216
31,7,1.38176,0.11957,5.18652,24.597689066475,111.104307757591
32,149,5.64207,0.514510000000001,0.850890000000001,21.5720547760625,93.3875609715223
33,8,0.62462,0.40592,5.88874,24.546296483409,109.891902602703
34,84,0.80609,0.76784,4.96505,24.3649059896373,94.3068755507491
35,251,5.47785,0.287600000000002,1.23359,24.6404279702725,44.9259115685218
36,6,1.29571,0.66804,4.58177,27.1422467903369,92.1880083039639
37,32,5.60499,0.38738,0.33637,27.9059569172094,98.8850773955269
38,6,1.38589,0.11821,5.18295,30.4999999999965,112.381721958011
39,486,1.28665,0.666439999999996,4.59333,22.7029937749322,77.505650193664
40,5,5.99773,0.5788,6.0261,33.8028736205223,30.2165763623069
41,352,5.42452000000001,0.770330000000003,0.205339999999994,28.0422476797084,70.5297268357418
42,41,3.04103,0.43088,3.62919,33.4159308213481,51.1139483904153
43,164,3.81073,0.755169999999999,2.14255,31.1016164279303,109.122568089087
44,819,4.24662000000001,0.867630000000006,2.16615,26.8903388111268,102.794804880672
45,130,1.39847,0.11633,5.17328,36.9934525739844,109.074918609131
46,43,6.14376,0.68126,0.14107,38.4116752351252,16.408077745835
47,25,5.4263,0.76627,0.20549,37.9647921488945,47.5486637604887
48,31,1.29001,0.66956,4.59142,40.0396819686181,96.8914810673438
49,6,4.56883,0.63394,1.94549,40.7919881187715,101.435282686821
50,24,3.02768,0.43026,3.64102,40.5644122309215,13.1549160077379
51,92,1.29048,0.667080000000001,4.5899,41.0011037179861,83.8186038479644
52,86,5.4768,0.288549999999999,1.23487,41.609422477238,1.1684998619684
53,69,2.73111,0.711880000000001,3.13317,42.5901315457342,4.28631907307601
54,190,0.953539999999997,0.34211,5.70779,41.6453753093059,8.85731404639858
55,293,5.24716,0.17229,0.464539999999997,42.0406948431452,25.337536919552
56,313,3.39108,0.292440000000002,3.22752,38.5054072238798,31.726715855892
57,648,6.00418,0.580309999999991,6.01643,37.8400663892852,40.0007974959925
58,7320,1.29027999999998,0.666040000000077,4.58826999999998,21.3296521973491,30.9991576164176
59,297,3.03752,0.431460000000003,3.63213,40.3989365561711,59.8678263675692
60,115,2.1099,0.540480000000001,4.31573,39.4016571173869,66.1664856047461
61,201,5.81451,0.738939999999998,0.489380000000001,40.5871783661431,69.0742565080135
62,219,2.109,0.541280000000004,4.31764,42.2714014977409,74.4947669424184
63,8,0.26036,0.52985,0.37735,44.5383816417039,78.3318262211958
64,11,1.40319501884376,0.569883081931921,4.94512944837513,44.4515920511516,80.8424866549025
65,1388,3.03583,0.432619999999996,3.63363999999999,34.1300403148036,86.8937604674087
66,72,5.63871,0.22688,1.26021,43.7029364192247,93.712180557249
67,104,0.779462615757258,0.67261493831613,5.87533510705916,43.0574300728635,100.77534923884
68,154,3.81632,0.751130000000001,2.13816,42.3486961808773,109.348308740148
