Node,GrainSize,phi1,Phi,phi2,x,y
1,13,0.86167,0.27828,5.93663,0.263404693262873,104.531029113316
2,7,0.12085,0.44025,0.58482,0.618840677535438,62.5265635798032
3,12,4.16341,0.56375,1.97686,0.502295844376282,107.042301096844
4,34,4.69322,0.37485,1.01016,0.433601516270149,95.842474887027
5,30,5.44373,0.28825,0.38431,2.0045994081097,65.4062585428026
6,29,1.39567,0.46984,5.25358,1.74455142480592,96.9995791807135
7,36,2.43704,0.5604,4.14374,1.35032271096492,31.9048829650697
8,86,2.27551,0.561920000000001,3.39198,1.94970396179206,101.183364656382
9,94,2.44827,0.801449999999998,3.32492,1.81890187873497,125.756093015894
10,187,2.36246,0.497840000000001,4.06866,1.85255299245788,57.035250431053
11,226,3.62471,0.957240000000002,2.30347,1.99133388436444,87.1634466004872
12,133,0.406770000000001,0.43592,5.13068,2.90488922963685,23.0201038365778
13,134,0.861589999999999,0.278340000000001,5.93494,2.15130306494234,111.491138299559
14,82,4.09752,0.20326,2.41413,2.52265512063836,122.193942394091
15,5,3.97917,0.44956,1.97823,5.58419333085747,152.791856346648
16,197,2.68357,0.650460000000002,3.08255,1.81194239641876,157.38557131273
17,51,0.40897,0.43979,5.12729,3.00816002723364,30.3021739008361
18,47,5.44063,0.90381,0.5393,6.5079886607458,23.1285964370436
19,183,2.4469,0.799450000000002,3.32968,3.44391449810299,118.36921532655
20,69,3.53683,0.28571,2.74393,5.01830836353656,60.1025762435378
21,34,0.40305,0.43363,5.13645,7.90727103217302,24.2042972458956
22,47,0.86723,0.27984,5.93263,6.61395695389142,123.58046628608
23,30,2.01885,0.876699999999999,4.12704,5.42095160647271,149.769106190254
24,159,2.43575,0.559679999999999,4.14439,4.20148640722977,27.7288426178553
25,51,5.83095,0.39256,0.39237,6.86105136054331,128.825644295005
26,28,1.33779,0.45088,4.29104,8.86460282968612,143.777300026191
27,74,1.15735,0.688769999999998,5.58355,4.62330792173872,9.41304691712672
28,182,1.82968,0.32308,3.90226,6.7462014827574,16.7948492784987
29,243,6.08439,0.41611,0.649169999999997,6.88505303523281,53.3213787922182
30,34,2.42914,0.50042,4.09128,9.6464180667305,41.3286574551741
31,109,6.1048,0.20055,0.387400000000001,9.3639949639668,35.6633683957588
32,433,0.679830000000003,0.354459999999998,5.92072999999999,5.1137254622277,147.838501313448
