Node,GrainSize,phi1,Phi,phi2,x,y
1,43,0.84889,0.882880000000001,5.17576,1.25234680183243,83.5005396160343
2,75,4.06689,0.558620000000001,1.45441,0.924750789328197,206.442249654282
3,10,6.04531725094879,0.707660489495214,0.0191017496324211,1.36013677340375,215.27789820477
4,72,6.03726,0.470090000000001,0.258760000000001,1.3735733884292,197.891244180131
5,32,4.87895,0.70122,1.30964,3.39596300048592,42.5289622817207
6,104,2.47075,0.801889999999998,3.85828,1.90361439516003,65.1902696459435
7,65,4.90772,0.449140000000001,1.26322,3.5021720212394,172.198788695182
8,7,1.40483,0.76266,5.05045,6.52688008542341,41.8709232768274
9,452,2.61202999999999,0.20049,4.44787,3.56276198069123,50.3621192117059
10,36,2.40044,0.83962,3.64695,5.59503242465767,68.6547753665931
11,749,2.39570245447167,0.839201238694489,3.64704867092227,3.4146830210642,177.248307545708
12,53,6.05869,0.723700000000001,0.44509,8.52865789385664,1.45034609760374
13,60,2.65579,0.19736,4.40722,9.16820405642102,20.7991661862247
14,682,5.70177,0.27895,0.285260000000005,3.70093378082213,12.1030139597162
15,104,5.72606,0.27198,0.256560000000001,8.53332617947116,37.2726886581803
16,240,2.7869,0.755729999999998,3.53187,9.99305752855134,53.3226800607935
17,176,5.33965,0.0996000000000002,1.64735,9.53495596082714,59.5141765036556
18,5,3.4409,0.67868,3.63273,13.8377076345242,63.5705148216053
19,5,2.33225,0.64723,4.35035,14.0581258578789,51.0430230146756
20,948,4.20217999999999,0.823720000000012,2.30400000000001,6.1409830014789,31.0231321001597
21,1621,0.850890000000006,0.0357700000000004,5.81970000000001,6.40449687352228,146.275227629288
22,104,2.0037,0.663410000000001,4.19296,15.7268096398343,63.6306684574405
23,695,5.59319,0.834169999999997,0.421020000000004,8.76187353116913,127.548144155219
24,29,2.38609,0.84062,3.65435,17.5615987568049,74.0561794537056
25,182,5.40768,0.46364,0.173450000000004,14.7252694733408,179.280575180365
26,215,4.49925,0.596460000000001,1.25939,17.3030372930406,58.8023594870661
27,392,3.16103,0.369150000000001,3.12041,16.2953306714787,41.4653668542246
