Node,GrainSize,phi1,Phi,phi2,x,y
1,10,5.22275,0.93834,0.786020000000001,0.184051438944995,15.3901091408461
2,17,1.30511,0.67736,5.00597,0.745140651463734,12.8597432393003
3,18,0.67644,0.25718,5.55073,0.434209514201376,177.539305665501
4,54,5.61408,0.7738,1.32531,0.610830850432574,98.1702720184816
5,14,3.95454,0.8923,2.78777,0.647081133067197,164.59722706489
6,45,1.91773,0.09113,4.41156,0.801619974793041,71.8364629455927
7,31,2.30895,0.5609,3.40463,1.18270508729845,63.0514848465194
8,16,5.99112,0.53883,1.06205,2.33690969906182,13.3385196225382
9,44,5.84911,0.54558,6.03624,1.63757002632168,31.7421842225979
10,5,0.53783,0.72856,5.65519,2.94211942462222,80.3438499596587
11,105,1.60404,0.586049999999999,5.14208,1.09810841737527,86.7357100886915
12,69,3.25399,0.325,3.23572,1.63493996661273,28.0593470340557
13,39,4.16489,0.89254,2.24545,4.29012052282669,26.8966468035966
14,71,3.24856,0.32125,3.23853,2.22782451012747,35.3417494184305
15,45,3.52793,0.742570000000001,3.04945,4.37854360475816,11.8318918020889
16,52,4.62684,0.57162,2.13965,4.1219330146553,17.282465115212
17,50,5.83732,0.54886,6.04846,2.88140303690229,38.3240037437025
18,120,5.84057,0.547120000000001,6.0434,2.56021830458497,44.0571192543187
19,6,2.21682,0.71491,4.72926,6.80443017609117,11.0704523563619
20,77,4.8536,0.30449,1.56059,3.62573829974639,48.1969298893385
21,316,3.09083,0.724789999999997,2.63395,3.36660054461452,5.28711438819469
22,76,3.25586,0.32222,3.23378,3.52420222097947,40.8483092506234
23,6,0.68221,0.52297,5.54231,7.01201946054758,44.3235020303172
24,5,4.61525,0.39624,2.18401,7.71809214437589,44.5248709200788
25,9,0.51675,0.73782,5.66892,7.11436191442962,74.132280272586
26,35,0.75027,0.36832,5.6446,5.34633675070922,100.307968832739
27,6,3.61886,0.48211,2.16649,8.07286819706717,67.1185560258344
28,136,0.271560000000001,0.741729999999998,0.415100000000001,2.99304358555688,124.839218207275
29,56,0.461410000000001,0.54903,5.14612,7.95533581336366,5.09875015621703
30,363,4.9209294392018,0.304555925527968,1.49160145253713,4.07798394513559,63.4702405384891
31,53,3.09014,0.724539999999999,2.63647,9.27353094452797,2.47855924335218
32,6,2.72407,0.19082,4.19691,10.4585146113303,88.0657447980474
33,24,3.04252,0.10786,3.02006,8.62812954540098,133.781657247724
34,166,5.43688,0.491890000000001,0.377279999999997,6.95923592667625,90.6242080020392
35,225,1.57711,0.0685800000000001,4.83824,4.36959183945122,183.028190441714
36,389,3.09694,0.733190000000005,3.84792,5.8588120366148,54.9456761994973
37,1044,3.76061000000001,0.463850000000001,3.15762,5.70701042773597,112.0783693388
38,50,5.79094,0.77925,0.519600000000001,9.14547132676629,176.838020951463
39,162,1.76932,0.27706,4.04629,8.30258936568872,14.8086965831661
40,618,5.11334999999999,0.357080000000003,1.58315,5.98901136785424,78.3504620135027
41,83,1.48221,0.781839999999999,5.19544,11.1820502060936,11.4729688541608
42,46,0.831089999999999,0.977439999999999,5.51933,10.8648246533794,17.9489569669322
43,131,0.53498,0.730649999999999,5.65621,11.7613639738459,83.5977595142619
44,339,2.44487,0.731150000000002,3.17289,7.15010153882167,97.3742841621613
45,328,3.04411,0.105320000000001,3.01597,6.58028455178054,128.983008680353
46,271,2.19977999999999,0.739630000000002,3.60803,13.3179210994243,115.9054605906
47,61,3.39463,0.553719999999999,2.34473,13.9633054746877,157.316671211264
48,56,2.63431,0.32783,3.28828,15.2733063798331,181.732269018173
49,60,0.45704,0.55113,5.14808,13.0372137511175,1.41954009789292
50,262,0.885319999999997,1.02481,5.58331,10.5886494882377,44.4202358696016
51,176,4.20701,0.32941,2.17517,13.8735378218817,97.0675823489974
52,5,2.92275,0.83194,3.96605,19.253683815337,98.0855435812432
53,356,0.276760000000002,0.738840000000006,0.410270000000001,8.61368122277701,134.051083925409
54,542,1.75902,0.276690000000004,4.05818,9.04005807898872,22.0740721839798
55,197,6.08722,0.723350000000001,0.707310000000001,18.2859921137132,119.434692622626
56,312,3.03246,0.108789999999999,3.02899,11.3240491548406,137.265221277746
57,357,4.51126,0.23574,1.93432,13.0560238602331,40.0675545766524
58,1361,3.01171,0.106450000000002,3.04898,9.92599804484174,151.866474080319
59,382,5.15102,0.963829999999997,0.67632,16.618939289988,69.3254138615295
60,67,5.54509,0.755280000000002,1.19112,22.7166425465076,141.768992236765
61,426,4.08164999999999,0.868860000000001,2.28194000000001,17.0983669784285,90.9147178291944
62,257,6.15955,0.387440000000003,0.715549999999999,21.0383636976221,100.574850145435
63,420,0.277140000000002,0.736990000000008,0.40942,12.277690998999,140.75801421467
64,38,3.03327,0.10857,3.02697,24.4668328764352,139.553379601259
65,1244,0.905819999999996,1.01978999999999,5.60442,18.1218332629441,33.1213703711105
66,67,4.50864,0.23213,1.93412,25.4834790873775,35.3909097169137
67,7,6.22375,0.383,0.755050000000001,28.1701888026611,42.8263962644531
68,31,4.62565,0.53488,2.34848,27.6517349904709,88.9594717854894
69,36,1.30409,0.54873,4.46897,28.8993835402661,39.0457499793723
70,172,4.82954,0.807240000000003,1.03412,23.7728799439825,121.41278560923
71,356,0.864209999999994,1.04387999999999,5.56035000000001,25.6206351691739,64.7707459416122
72,309,4.33723,0.19742,2.05073,22.303237914001,68.9064623028558
73,130,5.53395,0.777370000000001,0.352329999999999,29.8099401710881,31.5952884451604
74,5,2.93777,0.8513,4.01329,31.7247628219565,73.0769306731942
75,58,4.99212,0.32691,1.66352,30.8023366905067,39.3127085494175
76,177,1.57801,0.29294,4.30411,24.7739885729698,59.5256903829134
