Node,GrainSize,phi1,Phi,phi2,x,y
1,279,5.07826,0.318229999999999,0.746700000000002,0.743740129003092,20.5843178264677
2,45,4.37652,0.838829999999999,2.2961,1.05479715249127,52.9445919580797
3,92,0.0113200000000002,0.23782,6.14824,1.16709996111157,129.615251588154
4,25,5.84798,0.28218,0.30336,1.78497128494168,41.4902698331042
5,23,4.37503,0.83462,2.30104,1.68436791483879,43.0597123780895
6,54,3.30451,0.391229999999999,3.75996,1.44375922469761,56.9052722030477
7,49,5.8317,0.28936,0.319440000000001,1.44854322072405,37.670762121708
8,27,4.38308,0.83214,2.29015,1.64948382473643,39.9629676386227
9,112,5.83649,0.28672,0.314189999999999,1.76024507570502,47.1813467056841
10,415,1.42041,0.5546,5.38267,3.1624227849526,19.1775903942694
11,237,3.39926,0.606919999999998,2.98528,2.84983941213048,141.885285937701
12,619,5.07254,0.318210000000003,0.753269999999992,6.5605909399276,17.2597191706336
13,60,0.74818,0.37066,6.03237,7.17111166220935,103.346095231065
14,147,5.5579,0.74157,1.17163,4.64843364007224,133.026055909801
15,217,3.11017,0.582549999999999,3.45129,7.7322007615708,132.011463015146
16,9,3.60754,0.39901,2.64757,13.5821939833484,28.0696264046731
17,54,4.48278,0.4056,1.35624,9.26079929342968,113.085464261564
18,430,1.42133,0.555879999999996,5.38096,11.1319459528328,17.9027952556279
19,655,5.92942531450377,0.821354097161078,1.00809914025685,6.00465471376774,117.062736813392
20,43,2.51376,0.55859,3.9341,12.5002233699823,61.6580781494244
21,129,2.50102,0.558499999999999,3.94442,11.9837828723684,32.1285644943784
22,80,3.28561,0.451160000000001,3.54959,14.9129076939947,123.238599831622
23,172,2.91192,0.651389999999997,3.41572,11.6692064548546,2.18130206528848
24,31,0.349860000000001,0.79886,6.25492,15.8042026619065,27.3537961332508
25,35,5.93004,0.82271,1.00818,17.6559928540078,124.62788587588
26,224,5.25227,0.70509,1.26757,16.4632834918582,6.4394180184405
27,27,2.35512,0.54458,4.07803,19.3937095916479,15.6923814074597
28,360,5.07338,0.317090000000004,0.751889999999999,16.5014037295354,17.0114962925514
29,297,5.06344,0.655609999999997,0.675070000000005,13.8842312633967,105.859086512924
30,292,1.72441,0.581840000000003,4.05987,14.4706095320283,99.235365390443
31,93,2.85455,0.17858,2.97871,20.2261591283784,2.9785760048651
32,5,5.15807,0.3752,1.80894,22.1426413195997,5.08686804280459
