Node,GrainSize,phi1,Phi,phi2,x,y
1,6,2.41269,0.3066,3.75257,0.174173176909742,80.7653194482635
2,10,5.66516,0.80085,0.0840700000000005,0.340564945636653,77.5677324986889
3,7,2.63628,0.75489,3.05923,0.358811485888434,36.1764340192565
4,12,5.51295,0.9787,0.60693,0.385550847170497,144.198905619905
5,12,1.35234,0.71991,4.7144,0.832294130777457,70.3707844520146
6,10,1.37566,0.7189,4.69651,0.727958231712061,75.2593431783588
7,27,1.75012,0.29554,4.47282,0.514082403045929,127.039052051613
8,38,5.66837,0.80992,0.07944,1.21532082370235,68.0873084073879
9,10,2.64658,0.76981,3.05209,1.09873351126188,71.4335260247683
10,14,1.36104,0.7213,4.6963,1.18983142707655,72.5233580893955
11,17,5.65071,0.79544,0.0995299999999997,1.30725647059432,73.8131061201639
12,256,0.627210000000004,0.736930000000002,0.0606700000000018,1.42470852070902,91.2373106611444
13,52,5.20772,0.55615,0.34611,1.49306677769922,124.441943695193
14,75,3.96099,0.63851,2.98674,1.48986876294982,116.923538330995
15,159,1.35835,0.72211,4.7049,2.16117478778241,61.5127237799551
16,138,3.65186,0.17449,2.19514,3.59724514583623,105.427960797458
17,131,1.75335,0.294790000000001,4.47054,3.5626880859006,121.316227319018
18,179,5.23385,0.827729999999997,1.33463,2.05595963565837,110.180812966803
19,186,5.66601,0.806590000000004,0.0807999999999991,4.71666403017314,91.1678993915812
20,29,2.76748,0.35276,3.7864,5.56385687865376,0.88160744573295
21,51,2.642,0.76724,3.05687,3.63139836714133,56.5008498808028
22,56,0.819799999999999,0.511820000000001,5.94912,6.29036864065573,103.142909555093
23,47,1.35952,0.72334,4.70368,4.52924506417929,54.8949793172698
24,62,1.99062,0.742539999999998,4.41987,7.18603796103012,115.201117413959
25,307,0.932340000000003,0.921389999999999,5.3692,5.37303689657126,145.037958259852
26,346,3.95718,0.639319999999997,2.9889,4.65122334462019,130.356347668231
27,29,6.1958,0.17671,0.677850000000001,10.0184240239432,146.067859890578
28,64,1.15448,0.45341,5.73304,7.68826478924088,56.9325888153871
29,49,5.99266,0.62897,0.20504,8.58646636148541,116.708630160859
30,26,2.64695,0.7627,3.05098,9.30940046873552,38.1047510960921
31,173,5.66647,0.806790000000001,0.0818699999999994,5.77249605129741,52.1496398616925
32,48,5.20679,0.54782,0.76568,9.31050924266145,0.780071999687838
33,49,4.60159,0.79673,2.22158,9.82790265312701,88.528210209575
34,71,3.12529,0.515539999999999,2.49859,9.33293838669278,112.017774886974
35,202,1.98686,0.742550000000003,4.42424,9.71069524306491,120.227156627332
36,61,1.38134,0.44019,4.47695,11.9655265919339,125.10664253095
37,82,1.35618,0.726070000000001,4.70618,6.57674859564783,49.4572082759316
38,7,0.56195,0.8255,5.13583,12.7801157135119,49.7871827851536
39,290,5.00637,0.163969999999999,1.11224,9.26657219400088,94.5248045360765
40,74,0.688210000000001,0.51289,5.18921,12.095515222747,139.300491916312
41,298,1.3513,0.722090000000004,4.71294,5.70398883329815,39.9397780830522
42,98,0.799919999999999,0.7513,6.0221,11.3108142350855,99.0756322417819
43,358,2.64415,0.767529999999999,3.05568,7.13457911361337,45.3919718679061
44,7,0.67179,0.57678,6.18526,14.5040916084473,46.0006063033986
45,9,2.04333,0.79808,4.39919,14.8081737338474,46.9885039225877
46,185,4.95816,0.423600000000001,1.78867,14.595570021747,121.504747875701
47,180,1.90892,0.377950000000001,4.79356,10.3178129408398,104.003380006479
48,463,1.75101,0.29515,4.47122,8.32447416939983,135.599573418041
49,29,5.35831,0.57314,0.21677,16.1006417472041,40.4854336598738
50,52,2.04193,0.79842,4.39997,15.849791074844,44.4229435040216
51,153,0.931279999999998,0.920379999999999,5.37079,13.4349220999275,146.387848699125
52,39,2.94178,0.50885,2.92445,15.7389754410661,48.4641706058728
53,143,3.66642,0.70046,2.53196,14.378352078722,103.41680980342
54,30,3.05203,0.3198,3.10836,17.4515595056498,134.353471077005
55,49,4.12101,0.398139999999999,2.13904,17.8427493358869,83.759954450571
56,23,0.1434,0.51161,6.01078,18.8439661757675,4.49241422631127
57,37,1.15267,0.45296,5.73392,18.7550719872315,45.9465883509107
58,36,1.59585,0.60179,3.90791,18.9947942256021,138.603189381539
59,190,1.89174,0.377730000000001,4.8127,15.5552096002395,106.257933020177
60,67,0.53697,0.57024,0.20758,19.0145835776356,136.266325361039
61,31,1.46143,0.7599,5.13966,21.6176077382194,26.240781464657
62,5,1.58035,0.59917,3.92866,22.8976683608427,138.479720891787
63,111,3.206,0.539379999999999,3.70525,21.999750856573,97.686450679488
64,40,0.92935,0.92053,5.36942,24.4248147845492,142.422335532939
65,108,4.76303,0.488600000000001,0.781460000000001,21.0620611968229,34.8075275285652
66,1287,4.12768,0.390870000000004,2.13294,12.8774233859334,60.4754067576917
67,300,5.9606,0.604780000000001,0.110940000000001,18.6556640269708,91.3856397285953
68,413,3.70212,0.328639999999999,2.66687,20.0913410865167,144.044319382411
69,23,2.55004,0.24992,4.14115,25.4859063670861,17.1464553946952
70,246,4.75707,0.485820000000003,0.783300000000001,22.1340437296229,41.8678323172995
71,222,3.66043,0.699240000000002,2.53832,20.486583036334,104.955961350745
72,53,1.82139,0.14619,4.08098,26.3781208428288,47.8568697817995
73,145,4.06337,0.449790000000001,2.79672,22.6903586219853,87.1343008115934
74,141,4.61975,0.804230000000002,1.8477,24.0405350311973,93.5724288972791
75,71,6.05656,0.7562,0.25164,25.3072325900705,11.0830600739169
76,283,0.0974199999999956,0.629280000000004,5.6078,25.1211159735549,22.2848689173833
77,5,1.46229,0.75897,5.13958,29.0173460467219,24.8481105249864
78,2730,1.99059999999998,0.774180000000015,4.60013000000002,9.93617260444774,19.4095632925762
79,14,3.11681,0.46956,3.82263,28.0302621263798,95.547104743438
80,58,5.22745,0.87276,0.490600000000001,25.6552168246311,111.969261659991
81,28,2.4838,0.32839,4.41177,29.4572852476501,88.8199497744561
82,9,5.4688,0.45241,0.90834,29.4058311937134,95.1647987866006
83,401,5.05921,0.755079999999999,1.33531,23.7048924350128,132.660124582787
84,7,0.42438,0.86289,5.58295,30.3483480291321,21.3317211275291
85,12,1.77016,0.17081,5.2436,30.5064950985081,22.9417461735444
86,53,5.5159,0.711160000000001,1.00247,29.3871156999639,48.2282752827809
87,57,1.93263,0.54498,3.87285,28.4944537451788,57.0543383832875
88,13,3.11835,0.46612,3.81961,30.0818793407707,94.4876928530755
89,76,4.99385,0.690920000000001,0.83644,29.6179663928872,53.349021868454
90,130,4.74108,0.672190000000001,0.92308,28.7907767782466,61.509478692074
91,589,3.98729999999999,0.806690000000009,2.014,21.0132562970351,3.51995948847118
92,10,3.03671,0.29692,3.33838,31.9686279771757,51.9972208232645
93,10,1.39167,0.22696,4.41133,32.2094727404466,58.8374806472736
94,271,1.90133,0.378880000000002,4.80161,25.308899393547,103.676771284821
95,43,3.06168,0.18963,2.62391,31.5803605734414,133.006529406993
96,29,0.95409,0.642689999999999,4.98007,31.7653494554324,4.05836609954701
97,8,4.73478,0.66723,0.92797,34.2577595950487,65.8259177377239
98,5,4.60521,0.77701,2.2063,33.7837186563593,68.6685069173013
99,148,3.93383,0.835839999999998,2.47102,31.9563577872607,89.6694617332195
100,866,1.37159,0.44289,4.48773,23.5212452480503,118.852799481736
101,43,5.52929,0.70427,0.85957,33.2569006211309,55.5449171883783
102,108,0.902459999999999,0.21247,5.73664,32.2137341867697,64.7459541884969
103,2305,1.16962999999999,0.453809999999981,5.71661999999998,19.1782764401844,73.8022919867335
104,6,1.58738,0.19929,3.9454,35.8490366780362,27.7167927595606
105,97,6.15931,0.173820000000001,5.71951,31.5599437041074,103.781432483603
106,504,3.4079,0.559350000000006,3.21817,31.2706992930579,125.989902068836
107,168,2.52296,0.58647,4.5347,31.1553667860915,7.30845137088183
108,62,1.97128,0.60135,3.6155,36.302657008088,118.218903685847
109,31,2.49002,0.32437,4.40991,35.3970061238562,94.3352246550159
110,60,0.13581,0.31469,6.21274,36.670206516183,5.93452227775783
111,346,4.126,0.391900000000001,2.13356,32.8846985344593,79.3022483456928
112,36,5.27497,0.43127,1.49983,39.2152865834849,5.12425625210473
113,181,2.4716,0.32632,4.43202,37.4595439296267,86.369336749612
114,6,3.9261,0.81965,2.46898,40.9795469338946,89.4767033821672
115,123,0.45324,0.651919999999998,5.42201,37.5496428917687,91.9566097554966
116,127,1.15203,0.451689999999999,5.73554,38.0012631174508,78.8466653801346
117,157,2.69152257497749,0.759762282268501,3.99557171276329,37.5279569680124,1.66437633668589
118,898,3.65779000000001,0.70163999999999,2.54057999999999,34.715067208455,106.779104814127
119,26,0.0546399999999998,0.559529999999999,0.31765,41.2644169648905,127.14723809808
120,38,4.58332,0.51891,2.44485,40.579476802605,16.0011247299411
